36278,36995,37719
9090,8825,8573
7783,7840,7720
109904,113794,116759
363741,371690,381353
90658,92551,93778
5135,4824,4615
59586,64402,71420
91596,87221,85118
97852,106789,115640
17253,17159,18121
45851,42797,41317
24584,25389,25077
19493,18436,17642
216228,228907,238014
62723,61159,59581
4420,4243,4272
43649,43669,43841
99,85,109
21854,22778,24073
276,358,469
47556,48833,49658
49008,50912,53264
11071,10155,9712
30042,30483,31268
48,51,32
117573,117447,116861
34364,34433,35464
166971,161211,159099
9713,9804,9491
4730,4531,4710
95840,92979,91262
